neighborhood,tract,hood_area,tract_area,intersect_area,neighborhood_bigger,tract_bigger,percent_tract,percent_neighborhood
Abell,24510090400,189039,352238,242,FALSE,TRUE,0.06870354703353983,0.1280159120604743
Abell,24510090500,189039,741594,551,FALSE,TRUE,0.07429941450443234,0.29147424605504685
Abell,24510120201,189039,348021,187104,FALSE,TRUE,53.76227296628652,98.97640169488837
Abell,24510120202,189039,981793,723,FALSE,TRUE,0.07364077763846351,0.3824607620649707
Abell,24510120300,189039,403944,419,FALSE,TRUE,0.10372724932168816,0.2216473849311518
Allendale,24510200600,1052335,1801025,686,FALSE,TRUE,0.03808942130175872,0.0651883668223522
Allendale,24510200701,1052335,1203687,1050569,FALSE,TRUE,87.27925116745466,99.83218271748065
Allendale,24510200702,1052335,288172,788,TRUE,FALSE,0.27344780200713464,0.07488109774929086
Allendale,24510200800,1052335,1067263,270,FALSE,TRUE,0.025298356637492348,0.025657228924249403
Allendale,24510280404,1052335,848959,22,TRUE,FALSE,0.0025914090079732946,0.002090589023457359
Arcadia,24510260201,585515,1648546,0,FALSE,TRUE,0,0
Arcadia,24510260202,585515,1045635,229,FALSE,TRUE,0.02190056759767988,0.03911086821003732
Arcadia,24510270101,585515,956367,509236,FALSE,TRUE,53.2469229908602,86.97232351007233
Arcadia,24510270102,585515,1021030,305,FALSE,TRUE,0.029871796127439936,0.05209089434087939
Arcadia,24510270200,585515,938521,75745,FALSE,TRUE,8.070677161192984,12.936474727376753
Arlington,24510271700,467772,1734102,30,FALSE,TRUE,0.0017300020414024089,0.006413380877863574
Arlington,24510271801,467772,557960,398090,FALSE,TRUE,71.34740841637394,85.10342645562368
Arlington,24510271802,467772,530270,9923,FALSE,TRUE,1.8713108416467081,2.121332615034675
Arlington,24510271900,467772,1398991,59730,FALSE,TRUE,4.269505665154386,12.769041327826377
Armistead Gardens,24510260303,1224580,1218864,156439,TRUE,FALSE,12.834819963507002,12.774910581587157
Armistead Gardens,24510260401,1224580,1341148,1042524,FALSE,TRUE,77.73370276807631,85.13318852177889
Armistead Gardens,24510260402,1224580,1338500,6533,FALSE,TRUE,0.4880836757564438,0.533489032974571
Armistead Gardens,24510260403,1224580,1706889,11697,FALSE,TRUE,0.6852818197316873,0.9551846347319081
Armistead Gardens,24510260404,1224580,4467113,7386,FALSE,TRUE,0.1653416871254432,0.6031455682764703
Ashburton,24510150500,912828,970120,755,FALSE,TRUE,0.07782542365892879,0.08270999574947306
Ashburton,24510150701,912828,975454,93,FALSE,TRUE,0.009534022106629323,0.010188118681723172
Ashburton,24510150800,912828,1089490,33,FALSE,TRUE,0.0030289401463069877,0.003615138887063061
Ashburton,24510151100,912828,1698800,911947,FALSE,TRUE,53.68183423593125,99.90348674668174
Baltimore Highlands,24510260404,392432,4467113,246851,FALSE,TRUE,5.525962741484265,62.90287234476292
Baltimore Highlands,24510260700,392432,785729,1,FALSE,TRUE,1.2727034384628797e-4,2.548212174338484e-4
Baltimore Highlands,24510260800,392432,311706,145553,TRUE,FALSE,46.69560419112882,37.08999266114894
Baltimore Highlands,24510261000,392432,310024,27,TRUE,FALSE,0.008709003173947823,0.006880172870713908
Patterson Park Neighborhood,24510010200,437539,355165,93408,TRUE,FALSE,26.299888784086267,21.348496933987597
Patterson Park Neighborhood,24510010300,437539,684377,210,FALSE,TRUE,0.03068484183425217,0.047995721524252695
Patterson Park Neighborhood,24510060100,437539,238719,121082,TRUE,FALSE,50.721559658007955,27.67341882666459
Patterson Park Neighborhood,24510060200,437539,257735,98635,TRUE,FALSE,38.269928414844706,22.543133297831737
Patterson Park Neighborhood,24510260404,437539,4467113,210,FALSE,TRUE,0.0047010227858574425,0.047995721524252695
Patterson Park Neighborhood,24510260800,437539,311706,38,TRUE,FALSE,0.012190974828845128,0.008684940085340964
Patterson Park Neighborhood,24510261000,437539,310024,123957,TRUE,FALSE,39.983033571594454,28.3305031094371
Barclay,24510090800,364044,846051,1964,FALSE,TRUE,0.23213730614348305,0.5394952258518202
Barclay,24510120300,364044,403944,89942,FALSE,TRUE,22.26595765749708,24.70635417696762
Barclay,24510120400,364044,281027,272138,TRUE,FALSE,96.83695872638573,74.75415059718055
Barre Circle,24510180300,62030,289561,11823,FALSE,TRUE,4.083077486263688,19.06013219409963
Barre Circle,24510210100,62030,1480550,49849,FALSE,TRUE,3.366924453750295,80.36272771239723
Barre Circle,24510220100,62030,1439828,358,FALSE,TRUE,0.024864080987451277,0.5771400935031437
Beechfield,24510250101,1043703,962787,960914,TRUE,FALSE,99.80546060551295,92.06776257230266
Beechfield,24510250102,1043703,737636,385,TRUE,FALSE,0.052193764946396326,0.03688788860432518
Beechfield,24510250103,1043703,2587950,50343,FALSE,TRUE,1.9452848779922334,4.82349863898063
Beechfield,24510280403,1043703,1831346,113,FALSE,TRUE,0.006170324995931954,0.010826834837113624
Belair-Parkside,24510260202,83436,1045635,264,FALSE,TRUE,0.02524781592046938,0.3164101826549691
Belair-Parkside,24510270101,83436,956367,83172,FALSE,TRUE,8.696661428091936,99.68358981734504
Bellona-Gittings,24510271200,421039,3600399,420590,FALSE,TRUE,11.681760827063888,99.89335904749916
Berea,24510080102,880698,365636,135,TRUE,FALSE,0.03692196610837008,0.015328750604634052
Berea,24510080200,880698,856268,484795,TRUE,FALSE,56.617203959508004,55.046678884248635
Berea,24510080301,880698,268608,113261,TRUE,FALSE,42.165907195615915,12.860367572084868
Berea,24510080302,880698,439534,281445,TRUE,FALSE,64.03258906023197,31.957038621638745
Berea,24510260303,880698,1218864,523,FALSE,TRUE,0.042908806889037664,0.05938471530536007
Berea,24510260404,880698,4467113,540,FALSE,TRUE,0.012088344306490568,0.061315002418536206
Better Waverly,24510090300,729833,793220,8944,FALSE,TRUE,1.12755603741711,1.2254858303200868
Better Waverly,24510090400,729833,352238,350436,TRUE,FALSE,99.48841408365935,48.015915969817755
Better Waverly,24510090500,729833,741594,330496,FALSE,TRUE,44.56562485672754,45.28378409855405
Better Waverly,24510090800,729833,846051,39943,FALSE,TRUE,4.7211101931207455,5.47289585425707
Better Waverly,24510120201,729833,348021,12,TRUE,FALSE,0.0034480677890127323,0.001644211758032317
Better Waverly,24510120300,729833,403944,2,TRUE,FALSE,4.951181351870557e-4,2.740352930053862e-4
Beverly Hills,24510270101,269790,956367,100272,FALSE,TRUE,10.484677953128871,37.166685199599684
Beverly Hills,24510270102,269790,1021030,156,FALSE,TRUE,0.01527868916682174,0.05782275102857778
Beverly Hills,24510270200,269790,938521,169188,FALSE,TRUE,18.027087300124343,62.71099744245524
Beverly Hills,24510270302,269790,519263,173,FALSE,TRUE,0.0333164504307066,0.064123948256051
Biddle Street,24510070100,292294,290634,6855,TRUE,FALSE,2.3586366357686988,2.3452414349935338
Biddle Street,24510070200,292294,311144,1539,FALSE,TRUE,0.49462628236443573,0.5265246635237124
Biddle Street,24510080301,292294,268608,94042,TRUE,FALSE,35.01087086013819,32.173770245027264
Biddle Street,24510080302,292294,439534,157999,FALSE,TRUE,35.94693470812269,54.05482151532362
Biddle Street,24510080400,292294,250978,31532,TRUE,FALSE,12.563650997298566,10.787768479681418
Biddle Street,24510260404,292294,4467113,328,FALSE,TRUE,0.007342549875053531,0.11221578273929675
Blythewood,24510271101,196567,1011780,758,FALSE,TRUE,0.07491747217774615,0.3856191527570752
Blythewood,24510271102,196567,1256843,195748,FALSE,TRUE,15.574578527310093,99.58334817136142
Blythewood,24510271200,196567,3600399,61,FALSE,TRUE,0.0016942566643308144,0.03103267588150605
Bolton Hill,24510110200,589830,720076,638,FALSE,TRUE,0.08860175870324799,0.10816675991387348
Bolton Hill,24510120500,589830,534550,6556,TRUE,FALSE,1.2264521560190815,1.1115067053218723
Bolton Hill,24510120700,589830,1043796,439,FALSE,TRUE,0.04205802666421408,0.07442822508180323
Bolton Hill,24510130200,589830,352623,15509,TRUE,FALSE,4.398181627403771,2.629401692012953
Bolton Hill,24510130300,589830,359731,0,TRUE,FALSE,0,0
Bolton Hill,24510140100,589830,566964,565565,TRUE,FALSE,99.75324711974658,95.88610277537596
Bolton Hill,24510140200,589830,395228,593,TRUE,FALSE,0.15003997692471183,0.10053744299204856
Bolton Hill,24510140300,589830,389281,232,TRUE,FALSE,0.05959705200099671,0.03933336724140854
Bolton Hill,24510170200,589830,494007,299,TRUE,FALSE,0.0605254581412814,0.05069257243612566
Boyd-Booth,24510190300,100321,352924,174,FALSE,TRUE,0.049302399383436654,0.17344324717656323
Boyd-Booth,24510200100,100321,264899,152,FALSE,TRUE,0.05738036006175939,0.1515136412117104
Boyd-Booth,24510200200,100321,926856,11,FALSE,TRUE,0.0011868078752254934,0.010964802982426412
Boyd-Booth,24510200300,100321,244147,54511,FALSE,TRUE,22.32712259417482,54.33657957954965
Boyd-Booth,24510200400,100321,387906,45419,FALSE,TRUE,11.708764494490934,45.273671514438654
Boyd-Booth,24510200500,100321,653068,55,FALSE,TRUE,0.008421787623953401,0.054824014912132055
Brewers Hill,24510260700,230925,785729,1241,FALSE,TRUE,0.15794249671324337,0.5374039190213273
Brewers Hill,24510260900,230925,552104,229684,FALSE,TRUE,41.60158231057917,99.46259608097867
Bridgeview/Greenlawn,24510150200,733785,420326,67999,TRUE,FALSE,16.177681133215646,9.266883351390394
Bridgeview/Greenlawn,24510150300,733785,399171,6954,TRUE,FALSE,1.7421105240611165,0.9476890369794967
Bridgeview/Greenlawn,24510160400,733785,389581,47874,TRUE,FALSE,12.288586969077034,6.524254379688873
Bridgeview/Greenlawn,24510160500,733785,1048117,610614,FALSE,TRUE,58.25819064093035,83.21429301498395
Bridgeview/Greenlawn,24510160600,733785,556400,345,TRUE,FALSE,0.06200575125808771,0.047016496657740346
Broadway East,24510080200,897059,856268,196793,TRUE,FALSE,22.982640948861803,21.93757601228013
Broadway East,24510080301,897059,268608,58539,TRUE,FALSE,21.793468548963546,6.525657732657495
Broadway East,24510080400,897059,250978,166758,TRUE,FALSE,66.44327391245449,18.58941273650897
Broadway East,24510080500,897059,348376,264,TRUE,FALSE,0.07578019151721128,0.029429502407311
Broadway East,24510080600,897059,336412,216520,TRUE,FALSE,64.36155666266365,24.13665098951128
Broadway East,24510080700,897059,298758,192272,TRUE,FALSE,64.35710508170493,21.433595783554928
